product_id,brand,title,price,category,rating,image_url,product_url
B07N1G2NH2,Kipling,Unisex Kids Freedom Luggage- Kids' Luggage,97.25,Luggage,4.7,https://m.media-amazon.com/images/I/61LZ01YA8DL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07N1G2NH
B00JUM4NY8,Hanes,Men's EcoSmart Fleece Full-Zip Hoodie Sweatshirt,82.56,Sportswear,4.5,https://m.media-amazon.com/images/I/817e39xUn-L._AC_UL320_.jpg,https://www.amazon.ae/dp/B00JUM4NY8
B079CJLHJX,New Era,Men's Yankees Cap Yankees Cap (pack of 1),101.36,Most-Loved Fashion,4.5,https://m.media-amazon.com/images/I/71a8djK7riL._AC_UL320_.jpg,https://www.amazon.ae/dp/B079CJLHJX
B09C8NNX2B,Centrino,Men's Formal Shoe,42.0,Made for Amazon,3.6,https://m.media-amazon.com/images/I/71h502J5V2L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09C8NNX2B
B07VD4SGVS,New Balance,Unisex Kids 3 Pack Crew Performance Socks,21.78,Outlet,3.6,https://m.media-amazon.com/images/I/61YgZt8yJQL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07VD4SGVS
B0C98D2MDZ,Bostanten,Crossbody Bags for Women Trendy Vegan Leather Hobo Handbags Fashion Shoulder Bags Purse with Adjustable Guitar Strap,211.13,Handbags,4.5,https://m.media-amazon.com/images/I/81nMY6-JzKL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C98D2MDZ
B0DQGWSNKQ,GUESS,Womens Gerty Top Zip Shoulder Bag Handbag,260.1,Handbags,4.6,https://m.media-amazon.com/images/I/61ZNqjdtx2L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DQGWSNKQ
B07NNN8F37,Maserati,"successo Mens Analog Quartz Watch with Stainless Steel Gold Plated Bracelet R8873621013, Gold, Quartz Watch",445.0,Watches,4.4,https://m.media-amazon.com/images/I/71IPEs5WM7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07NNN8F37
B07H9JRWK7,Burwood,Men BWD 76 Leather Boots,71.0,Made for Amazon,3.7,https://m.media-amazon.com/images/I/81XkRpCGA6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07H9JRWK7
B07RTPC57Y,Shining Diva Fashion,Set of 4 Multilayer Charm Bangle Gold Plated Bracelet for Women and Girls (Golden) (10694b),18.7,Outlet,3.7,https://m.media-amazon.com/images/I/61ITm4XySEL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07RTPC57Y
B0BGXNF8BQ,Mokani,"Travel Bottles for Toiletries - 16 Pcs Silicone Travel Size Containers - TSA Approved, Squeezable and Leak Proof Travel Accessories, BPA Free Refillable Bottles for Cosmetic Shampoo Conditioner Lotion",35.99,Luggage,4.4,https://m.media-amazon.com/images/I/61NGwsu0evL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BGXNF8BQ
B0CJJ55P8B,KRAVE,Women Solid Black Georgette Dress,51.0,Made for Amazon,5.0,https://m.media-amazon.com/images/I/51yajz4SRrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CJJ55P8B
B0D3HZW5BM,Skechers,PREWITT mens SHOES,159.0,New season,4.4,https://m.media-amazon.com/images/I/61QqZiCuvFL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3HZW5BM
B07BDQ8NPV,Yober,Baby Boys Kids Swimsuit One Piece Toddlers Zipper Bathing Suit Swimwear with Hat,45.0,Most-Loved Fashion,4.0,https://m.media-amazon.com/images/I/61f7C9bi1aL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07BDQ8NPV
B093QP3J1K,Baggallini,womens Naples Convertible Backpack,76.42,Outlet,4.2,https://m.media-amazon.com/images/I/81pVceux2QL._AC_UL320_.jpg,https://www.amazon.ae/dp/B093QP3J1K
B0BDRPBHYG,Fusefit,Men's PCF ATHLECTIC HOODIE Sweatshirt,12.94,Made for Amazon,4.0,https://m.media-amazon.com/images/I/71xOJbEY-lL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BDRPBHYG
